target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0,F,0-20,0.9017812963879267,0.8372093023255814,0.16279069767441862,0.8297872340425532,0.1702127659574468,0.6923076923076923,0.9176470588235294,0.08235294117647059,78,16,7,36
F,,0,0,F,20-40,0.8919130116715992,0.8032786885245902,0.19672131147540983,0.8194726166328601,0.18052738336713997,0.5240641711229946,0.9439252336448598,0.056074766355140186,404,89,24,98
F,,0,0,F,40-60,0.8692613413122978,0.7378048780487805,0.2621951219512195,0.8339529120198265,0.16604708798017348,0.4745098039215686,0.9399441340782123,0.06005586592178771,673,134,43,121
F,,0,0,F,60-80,0.8470953119408327,0.8118811881188119,0.18811881188118812,0.7493975903614458,0.25060240963855424,0.44086021505376344,0.9424242424242424,0.05757575757575758,311,104,19,82
F,,0,0,F,80+,0.8961038961038961,0.8181818181818182,0.18181818181818182,0.8095238095238095,0.19047619047619047,0.6923076923076923,0.8947368421052632,0.10526315789473684,17,4,2,9
F,,0,0.05,,,0.861994770248416,0.8054443554843875,0.1945556445156125,0.769608990868649,0.23039100913135097,0.5055276381909548,0.9311614730878187,0.0688385269121813,3287,984,243,1006
F,,0,0.05,M,,0.8621796171833489,0.8106435643564357,0.18935643564356436,0.7648504711183941,0.2351495288816059,0.532953620829943,0.9242574257425743,0.07574257425742574,1867,574,153,655
F,,0,0.05,F,,0.8593819312788868,0.7959183673469388,0.20408163265306123,0.7759562841530054,0.22404371584699453,0.4612352168199737,0.9403973509933775,0.059602649006622516,1420,410,90,351
F,,0,0.05,,0-20,0.896251572327044,0.9333333333333333,0.06666666666666667,0.7433962264150943,0.25660377358490566,0.6730769230769231,0.9516908212560387,0.04830917874396135,197,68,10,140
F,,0,0.05,,20-40,0.873999797427327,0.8201058201058201,0.17989417989417988,0.780309936189608,0.21969006381039197,0.5626134301270418,0.9264069264069265,0.0735930735930736,856,241,68,310
F,,0,0.05,,40-60,0.8618463585562585,0.7858719646799117,0.2141280353200883,0.7822151224707136,0.21778487752928646,0.465359477124183,0.938058748403576,0.06194125159642401,1469,409,97,356
F,,0,0.05,,60-80,0.8125196689325277,0.7421875,0.2578125,0.7421953675730111,0.2578046324269889,0.4260089686098655,0.9178082191780822,0.0821917808219178,737,256,66,190
F,,0,0.05,,80+,0.8793859649122807,0.8333333333333334,0.16666666666666666,0.7368421052631579,0.2631578947368421,0.5,0.9333333333333333,0.06666666666666667,28,10,2,10
F,,0,0.05,M,0-20,0.9140296223424605,0.9626168224299065,0.037383177570093455,0.7368421052631579,0.2631578947368421,0.6959459459459459,0.9692307692307692,0.03076923076923077,126,45,4,103
F,,0,0.05,M,20-40,0.8713912458609272,0.82421875,0.17578125,0.7731788079470199,0.22682119205298013,0.6063218390804598,0.912109375,0.087890625,467,137,45,211
F,,0,0.05,M,40-60,0.8578762531540874,0.7923875432525952,0.20761245674740483,0.76937441643324,0.23062558356676005,0.4810924369747899,0.9321266968325792,0.06787330316742081,824,247,60,229
F,,0,0.05,M,60-80,0.8070990065855564,0.7161290322580646,0.2838709677419355,0.7577854671280276,0.2422145328719723,0.44223107569721115,0.9087136929460581,0.0912863070539419,438,140,44,111
F,,0,0.05,M,80+,0.8823529411764706,1.0,0.0,0.7058823529411765,0.29411764705882354,0.16666666666666666,1.0,0.0,12,5,0,1
F,,0,0.05,F,0-20,0.8542800593765464,0.8604651162790697,0.13953488372093023,0.7553191489361702,0.24468085106382978,0.6166666666666667,0.922077922077922,0.07792207792207792,71,23,6,37
