target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,,0,0,M,60-80,0.8178479741042528,0.7870967741935484,0.2129032258064516,0.7162629757785467,0.2837370242214533,0.42657342657342656,0.9261744966442953,0.0738255033557047,414,164,33,122
F,,0,0,M,80+,0.2941176470588235,0.0,1.0,0.7058823529411765,0.29411764705882354,0.0,0.9230769230769231,0.07692307692307693,12,5,1,0
F,,0,0,F,0-20,0.8822365165759525,0.7674418604651163,0.23255813953488372,0.7978723404255319,0.20212765957446807,0.6346153846153846,0.8823529411764706,0.11764705882352941,75,19,10,33
F,,0,0,F,20-40,0.8758687194493399,0.819672131147541,0.18032786885245902,0.8032454361054767,0.19675456389452334,0.5076142131979695,0.9473684210526315,0.05263157894736842,396,97,22,100
F,,0,0,F,40-60,0.8569302142835554,0.75,0.25,0.8004956629491945,0.19950433705080545,0.43309859154929575,0.9403202328966521,0.05967976710334789,646,161,41,123
F,,0,0,F,60-80,0.8376237623762376,0.7821782178217822,0.21782178217821782,0.7253012048192771,0.2746987951807229,0.40932642487046633,0.9318885448916409,0.06811145510835913,301,114,22,79
F,,0,0,F,80+,0.8787878787878788,0.8181818181818182,0.18181818181818182,0.7619047619047619,0.23809523809523808,0.6428571428571429,0.8888888888888888,0.1111111111111111,16,5,2,9
F,,0,0.05,,,0.8404261222136221,0.7606084867894315,0.23939151321056845,0.7623507375321938,0.23764926246780613,0.48346055979643765,0.9158931082981716,0.0841068917018284,3256,1015,299,950
F,,0,0.05,M,,0.8335527863519658,0.780940594059406,0.21905940594059406,0.731667349446948,0.26833265055305205,0.4906687402799378,0.9098318899643403,0.09016811003565971,1786,655,177,631
F,,0,0.05,F,,0.8481939952665949,0.7233560090702947,0.2766439909297052,0.8032786885245902,0.19672131147540983,0.4698085419734904,0.9233668341708543,0.07663316582914573,1470,360,122,319
F,,0,0.05,,0-20,0.8872955974842769,0.84,0.16,0.7924528301886793,0.20754716981132076,0.6961325966850829,0.8974358974358975,0.10256410256410256,210,55,24,126
F,,0,0.05,,20-40,0.8588261395918643,0.7883597883597884,0.21164021164021163,0.780309936189608,0.21969006381039197,0.5528756957328386,0.9145299145299145,0.08547008547008547,856,241,80,298
F,,0,0.05,,40-60,0.8344412001871325,0.739514348785872,0.26048565121412803,0.7657082002129926,0.23429179978700745,0.432258064516129,0.9241645244215938,0.07583547557840617,1438,440,118,335
F,,0,0.05,,60-80,0.7964580186304129,0.7109375,0.2890625,0.7280966767371602,0.2719033232628399,0.4026548672566372,0.9071518193224593,0.09284818067754078,723,270,74,182
F,,0,0.05,,80+,0.7894736842105263,0.75,0.25,0.7631578947368421,0.23684210526315788,0.5,0.90625,0.09375,29,9,3,9
F,,0,0.05,M,0-20,0.8830409356725146,0.8504672897196262,0.14953271028037382,0.7602339181286549,0.23976608187134502,0.6893939393939394,0.8904109589041096,0.1095890410958904,130,41,16,91
F,,0,0.05,M,20-40,0.8520346129966888,0.8046875,0.1953125,0.7433774834437086,0.25662251655629137,0.5706371191135734,0.8997995991983968,0.10020040080160321,449,155,50,206
F,,0,0.05,M,40-60,0.8264193797472854,0.7612456747404844,0.23875432525951557,0.7254901960784313,0.27450980392156865,0.4280155642023346,0.9184397163120568,0.08156028368794327,777,294,69,220
F,,0,0.05,M,60-80,0.7862373032704544,0.7354838709677419,0.2645161290322581,0.7231833910034602,0.2768166089965398,0.41605839416058393,0.9106753812636166,0.08932461873638345,418,160,41,114
F,,0,0.05,M,80+,0.3529411764705882,0.0,1.0,0.7058823529411765,0.29411764705882354,0.0,0.9230769230769231,0.07692307692307693,12,5,1,0
F,,0,0.05,F,0-20,0.8913904007916873,0.813953488372093,0.18604651162790697,0.851063829787234,0.14893617021276595,0.7142857142857143,0.9090909090909091,0.09090909090909091,80,14,8,35
F,,0,0.05,F,20-40,0.863465567120008,0.7540983606557377,0.2459016393442623,0.8255578093306288,0.1744421906693712,0.5168539325842697,0.931350114416476,0.06864988558352403,407,86,30,92
F,,0,0.05,F,40-60,0.8437906126273158,0.7012195121951219,0.29878048780487804,0.8190830235439901,0.1809169764560099,0.44061302681992337,0.9309859154929577,0.06901408450704226,661,146,49,115
