target_sex,target_age,trial,rate,dem_sex,dem_age,auroc,tpr,fnr,tnr,fpr,ppv,npv,fomr,tn,fp,fn,tp
F,0-20,0,0.05,,20-40,0.871658153791244,0.7751322751322751,0.22486772486772486,0.8058340929808568,0.19416590701914313,0.5790513833992095,0.9122807017543859,0.08771929824561403,884,213,85,293
F,0-20,0,0.05,,40-60,0.8596576603262593,0.7328918322295805,0.2671081677704194,0.8232161874334398,0.17678381256656017,0.5,0.9274145170965807,0.07258548290341932,1546,332,121,332
F,0-20,0,0.05,,60-80,0.8225350893756295,0.6796875,0.3203125,0.8016112789526687,0.19838872104733132,0.46900269541778977,0.9066059225512528,0.09339407744874716,796,197,82,174
F,0-20,0,0.05,,80+,0.8859649122807017,0.6666666666666666,0.3333333333333333,0.868421052631579,0.13157894736842105,0.6153846153846154,0.8918918918918919,0.10810810810810811,33,5,4,8
F,0-20,0,0.05,M,0-20,0.9071979012952944,0.9158878504672897,0.08411214953271028,0.7602339181286549,0.23976608187134502,0.7050359712230215,0.935251798561151,0.06474820143884892,130,41,9,98
F,0-20,0,0.05,M,20-40,0.8642060740894041,0.78125,0.21875,0.7831125827814569,0.21688741721854304,0.6042296072507553,0.8941398865784499,0.10586011342155009,473,131,56,200
F,0-20,0,0.05,M,40-60,0.8593139678016534,0.7508650519031141,0.2491349480968858,0.8057889822595705,0.1942110177404295,0.5105882352941177,0.9229946524064171,0.07700534759358289,863,208,72,217
F,0-20,0,0.05,M,60-80,0.8067529858243108,0.632258064516129,0.36774193548387096,0.801038062283737,0.19896193771626297,0.460093896713615,0.8903846153846153,0.10961538461538461,463,115,57,98
F,0-20,0,0.05,M,80+,0.7647058823529411,0.0,1.0,0.8823529411764706,0.11764705882352941,0.0,0.9375,0.0625,15,2,1,0
F,0-20,0,0.05,F,0-20,0.892380009896091,0.8372093023255814,0.16279069767441862,0.851063829787234,0.14893617021276595,0.72,0.9195402298850575,0.08045977011494253,80,14,7,36
F,0-20,0,0.05,F,20-40,0.8789944468460081,0.7622950819672131,0.23770491803278687,0.8336713995943205,0.1663286004056795,0.5314285714285715,0.9340909090909091,0.0659090909090909,411,82,29,93
F,0-20,0,0.05,F,40-60,0.8581542599812616,0.7012195121951219,0.29878048780487804,0.8463444857496902,0.1536555142503098,0.4811715481171548,0.9330601092896175,0.06693989071038252,683,124,49,115
F,0-20,0,0.05,F,60-80,0.84759632589765,0.7524752475247525,0.24752475247524752,0.8024096385542169,0.19759036144578312,0.4810126582278481,0.9301675977653632,0.06983240223463687,333,82,25,76
F,0-20,0,0.05,F,80+,0.9047619047619047,0.7272727272727273,0.2727272727272727,0.8571428571428571,0.14285714285714285,0.7272727272727273,0.8571428571428571,0.14285714285714285,18,3,3,8
F,0-20,0,0.1,,,0.8457783787320188,0.7902321857485989,0.20976781425140112,0.749473191290096,0.250526808709904,0.4798249878463782,0.9243430551544903,0.07565694484550968,3201,1070,262,987
F,0-20,0,0.1,M,,0.8415334569098042,0.8032178217821783,0.1967821782178218,0.7255223269151987,0.2744776730848013,0.4920394238059136,0.9176165803108808,0.08238341968911918,1771,670,159,649
F,0-20,0,0.1,F,,0.8491282851938589,0.7664399092970522,0.23356009070294784,0.7814207650273224,0.2185792349726776,0.45799457994579945,0.9328114807566862,0.06718851924331376,1430,400,103,338
F,0-20,0,0.1,,0-20,0.8913207547169811,0.8666666666666667,0.13333333333333333,0.7962264150943397,0.2037735849056604,0.7065217391304348,0.9134199134199135,0.08658008658008658,211,54,20,130
F,0-20,0,0.1,,20-40,0.8514274138704404,0.7777777777777778,0.2222222222222222,0.7511394712853237,0.2488605287146764,0.5185185185185185,0.9074889867841409,0.09251101321585903,824,273,84,294
F,0-20,0,0.1,,40-60,0.8473353598186977,0.7969094922737306,0.20309050772626933,0.7523961661341853,0.2476038338658147,0.437046004842615,0.9388704318936877,0.061129568106312294,1413,465,92,361
F,0-20,0,0.1,,60-80,0.8070910435548841,0.75390625,0.24609375,0.7321248741188319,0.2678751258811682,0.420479302832244,0.920253164556962,0.07974683544303797,727,266,63,193
F,0-20,0,0.1,,80+,0.8618421052631579,0.75,0.25,0.6842105263157895,0.3157894736842105,0.42857142857142855,0.896551724137931,0.10344827586206896,26,12,3,9
F,0-20,0,0.1,M,0-20,0.9033174837405039,0.8878504672897196,0.11214953271028037,0.8011695906432749,0.19883040935672514,0.7364341085271318,0.9194630872483222,0.08053691275167785,137,34,12,95
F,0-20,0,0.1,M,20-40,0.8441768418874173,0.76171875,0.23828125,0.7268211920529801,0.2731788079470199,0.5416666666666666,0.878,0.122,439,165,61,195
F,0-20,0,0.1,M,40-60,0.846083762224613,0.8442906574394463,0.15570934256055363,0.7170868347338936,0.28291316526610644,0.4460694698354662,0.9446494464944649,0.055350553505535055,768,303,45,244
F,0-20,0,0.1,M,60-80,0.7920861703315101,0.7419354838709677,0.25806451612903225,0.7231833910034602,0.2768166089965398,0.41818181818181815,0.9126637554585153,0.08733624454148471,418,160,40,115
F,0-20,0,0.1,M,80+,0.5294117647058824,0.0,1.0,0.5294117647058824,0.47058823529411764,0.0,0.9,0.1,9,8,1,0
F,0-20,0,0.1,F,0-20,0.8656605640771895,0.813953488372093,0.18604651162790697,0.7872340425531915,0.2127659574468085,0.6363636363636364,0.9024390243902439,0.0975609756097561,74,20,8,35
F,0-20,0,0.1,F,20-40,0.8556678748378945,0.8114754098360656,0.1885245901639344,0.7809330628803245,0.21906693711967545,0.4782608695652174,0.9436274509803921,0.056372549019607844,385,108,23,99
F,0-20,0,0.1,F,40-60,0.8478254299271617,0.7134146341463414,0.2865853658536585,0.7992565055762082,0.20074349442379183,0.41935483870967744,0.9320809248554913,0.06791907514450866,645,162,47,117
F,0-20,0,0.1,F,60-80,0.8279374925444352,0.7722772277227723,0.22772277227722773,0.744578313253012,0.25542168674698795,0.42391304347826086,0.9307228915662651,0.06927710843373494,309,106,23,78
F,0-20,0,0.1,F,80+,0.9047619047619048,0.8181818181818182,0.18181818181818182,0.8095238095238095,0.19047619047619047,0.6923076923076923,0.8947368421052632,0.10526315789473684,17,4,2,9
F,0-20,0,0.25,,,0.8624358629961801,0.8206565252201762,0.17934347477982385,0.7478342308592836,0.2521657691407165,0.48763082778306377,0.9344645991808075,0.06553540081919251,3194,1077,224,1025
